chave_curva,chave_familia,codigo_fipe,marca,modelo,ano_modelo,combustivel,data_referencia,mes_referencia,preco_nominal,tipo,valor_fipe,codigo_marca,codigo_modelo,codigo_ano,origem
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2019-07,julho/2019,179168.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2019-09,setembro/2019,181030.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2019-11,novembro/2019,180437.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-01,janeiro/2020,178965.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-03,março/2020,178612.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-05,maio/2020,177478.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-07,julho/2020,180425.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-09,setembro/2020,179422.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2020-11,novembro/2020,191884.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-01,janeiro/2021,194521.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-03,março/2021,202357.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-05,maio/2021,211847.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-07,julho/2021,229022.000000,usado,,,,,
002141-5|32000|diesel|excluir,toyota|hilux|base|diesel|excluir,002141-5,Toyota,Hilux CD SRX 4x4 2.8 TDI 16V Diesel Aut.,32000,Diesel,2021-09,setembro/2021,240887.000000,usado,,,,,
